,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1959,7177431.0,Lorimar Productions,USA,Nick Castle,Drama,11850000.0,The Boy Who Could Fly,PG,26-09-1986,114.0,6.5,Lucy Deakins,4623.0,Nick Castle,1986
1960,2015882.0,TaliaFilm II Productions,USA,Hal Needham,Drama,9900000.0,Rad,PG,28-03-1986,91.0,7.2,Bart Conner,4039.0,Sam Bernard,1986
1961,5839031.0,Columbia Pictures Corporation,USA,Walter Hill,Drama,7950000.0,Crossroads,R,14-03-1986,99.0,7.1,Ralph Macchio,11415.0,John Fusco,1986
1962,6000000.0,De Haven Productions,UK,David Anspaugh,Drama,28607524.0,Hoosiers,PG,27-02-1987,114.0,7.6,Gene Hackman,36604.0,Angelo Pizzo,1986
1963,300653.0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,6833333.333333333,Sacrifice,PG,1986-11,149.0,8.1,Erland Josephson,16571.0,Andrei Tarkovsky,1986
1964,7666666.666666667,Blueline Productions,USA,Peter Markle,Drama,15448384.0,Youngblood,R,31-01-1986,110.0,6.1,Rob Lowe,10412.0,Peter Markle,1986
1965,8500000.0,Warner Bros.,USA,Wes Craven,Drama,8988731.0,Deadly Friend,R,10-10-1986,91.0,5.5,Matthew Labyorteaux,5419.0,Diana Henstell,1986
1966,9333333.333333334,Paramount Pictures,USA,Randa Haines,Drama,31853080.0,Children of a Lesser God,R,31-10-1986,119.0,7.2,William Hurt,26520.0,Mark Medoff,1986
1967,206952.0,Compañía Iberoamericana de TV,Spain,Pedro Almodóvar,Drama,10166666.666666668,Matador,NC-17,07-03-1986,110.0,7.0,Assumpta Serna,8959.0,Pedro Almodóvar,1986
1968,4636169.0,Paramount Pictures,USA,Duncan Gibbins,Drama,11000000.0,Fire with Fire,PG-13,09-05-1986,103.0,6.6,Craig Sheffer,1264.0,Bill Phillips,1986
1969,11833333.333333334,Atlantic Entertainment Group,USA,Robert M. Young,Drama,13418091.0,Extremities,R,22-08-1986,89.0,6.3,Farrah Fawcett,2705.0,William Mastrosimone,1986
1970,2444076.0,Atlantic Entertainment Group,USA,Peter Medak,Drama,12666666.666666668,The Men's Club,R,19-09-1986,101.0,4.5,David Dukes,680.0,Leonard Michaels,1986
1971,4940939.0,DD Productions,Switzerland,Claude Berri,Drama,13500000.0,Jean de Florette,PG,28-08-1987,120.0,8.1,Yves Montand,20914.0,Claude Berri,1986
1972,2510433.0,Balcor Film Investors,USA,Tom DeSimone,Drama,14333333.333333334,Reform School Girls,R,22-08-1986,94.0,5.2,Linda Carol,1717.0,Jack Cummins,1986
1973,3940542.0,DD Productions,Switzerland,Claude Berri,Drama,15166666.666666668,Manon of the Spring,PG,04-12-1987,113.0,8.0,Yves Montand,17849.0,Claude Berri,1986
